T,Buy date,Buy price,Sell date,Sell price,Profit Ratio
AAPL,07/26/2013,13.497364379502045,08/16/2013,15.67861270904541,0.16160550076398228
AAPL,03/02/2016,23.061432839300924,03/23/2016,24.35090446472168,0.05591463611156281
ADBE,11/11/2022,330.3399963378906,12/05/2022,334.0899963378906,0.011351940550862893
AVGO,04/09/2020,241.48508902064046,05/01/2020,235.95196533203125,-0.022912899968479113
AVGO,11/09/2022,471.14946202749906,12/01/2022,542.28955078125,0.15099261378250028
CHTR,11/14/2022,392.55999755859375,12/06/2022,371.1700134277344,-0.05448844575068221
CHTR,05/01/2023,368.6400146484375,05/22/2023,341.489990234375,-0.07364915184249539
CMCSA,01/13/2022,48.973571654175466,02/04/2022,47.556427001953125,-0.02893692668015802
CMCSA,03/30/2022,45.859702994490966,04/21/2022,45.507747650146484,-0.00767461019943286
CMCSA,11/11/2022,32.6233889110652,12/05/2022,34.61250305175781,0.060972026729508355
CMCSA,03/30/2023,37.10472866581611,04/21/2023,37.7400016784668,0.017121079589943227
COST,01/26/2023,491.31816544701314,02/16/2023,503.05078125,0.0238798738335112
GOOG,07/05/2019,55.88999938964844,07/26/2019,62.52050018310547,0.11863483388559648
GOOG,07/29/2022,113.4000015258789,08/19/2022,118.12000274658203,0.041622585160424164
GOOGL,07/05/2019,55.96849822998047,07/26/2019,62.26100158691406,0.11242937645167882
GOOGL,07/29/2022,113.08000183105469,08/19/2022,117.20999908447266,0.03652279082545756
INTC,01/04/2013,15.586341153726744,01/28/2013,15.360136032104492,-0.014513035445022688
INTC,09/29/2020,46.98923473970606,10/20/2020,48.93070602416992,0.04131736333265519
INTC,11/11/2022,28.465167968939532,12/05/2022,28.701311111450195,0.008295863308037965
NFLX,10/04/2012,8.949999809265137,10/25/2012,8.787142753601074,-0.018196319456394973
NFLX,08/22/2016,95.66999816894531,09/13/2016,96.08999633789062,0.004390071882343203
NVDA,01/24/2012,3.328581488251167,02/14/2012,3.7254419326782227,0.1192280993654044
NVDA,01/03/2013,2.936781866953164,01/25/2013,2.8652093410491943,-0.024371073217713687
NVDA,07/16/2019,41.44503958553052,08/06/2019,37.884159088134766,-0.0859181347878106
NVDA,11/08/2022,147.94701394589396,11/30/2022,169.20126342773438,0.14366122650919713
PEP,06/12/2018,89.4744033862191,07/03/2018,94.30217742919922,0.053957040899628966
PYPL,10/29/2015,34.72999954223633,11/19/2015,36.189998626708984,0.042038557550140535
PYPL,01/30/2023,80.87000274658203,02/21/2023,75.23999786376953,-0.06961796329418886
PYPL,05/08/2023,75.70999908447266,05/30/2023,62.04999923706055,-0.18042530725923142
QCOM,10/19/2015,46.93686252846378,11/09/2015,41.79007339477539,-0.10965345479935382
QCOM,05/19/2017,47.079271137311906,06/12/2017,48.3845329284668,0.027724766327582903
QCOM,03/04/2019,48.689094602239415,03/25/2019,51.114280700683594,0.049809636393046315
QCOM,11/11/2022,116.70780170345527,12/05/2022,121.70621490478516,0.0428284410157123
SBUX,11/08/2016,47.53962281797675,11/30/2016,50.894081115722656,0.07056131493911315
SBUX,10/09/2017,49.25297884564842,10/30/2017,49.07506561279297,-0.0036122329456053067
SBUX,08/15/2018,47.60633292844049,09/06/2018,49.33548355102539,0.03632186132009113
TMUS,07/25/2012,10.920253442744984,08/15/2012,16.22295570373535,0.4855841752018391
TSLA,03/08/2016,13.566666603088379,03/30/2016,15.12600040435791,0.11493860996883032
TSLA,10/05/2016,14.149333000183105,10/26/2016,13.482666969299316,-0.04711642809418379
TSLA,10/02/2019,16.21933364868164,10/23/2019,16.978666305541992,0.04681651375499465
TXN,11/08/2022,164.9849822640268,11/30/2022,177.81407165527344,0.07775913428724164
Mean profit,,,,,0.04875822177345946
Std profit,,,,,0.10934140480592461
