tickers
AAPL
ADBE
AMZN
AVGO
CHTR
CMCSA
COST
GOOG
GOOGL
INTC
MSFT
NFLX
NVDA
PEP
PYPL
QCOM
SBUX
TMUS
TSLA
TXN
